time,year,month,PF,pop,season1,season2,season3,season4,season5,season6,dpopdt,ERA5,GSOD,IMD,ERA5_RF,GSOD_RF,hadISD,ERA5_hourly
2009.8333,2009,11,539,4243741,0.1667,0,0,0,0.1667,0.6667,0,53.974,62.033,64.89,61.97,62.14652,64.86,56.07366438770001
2009.9167,2009,12,297,4243741,0.4792,0.0208,0,0,0.0208,0.4792,0,50.213,59.995,63.169,61.12,63.78242,62.73,52.507151777855164
2010,2010,1,146,4414554,0.6667,0.1667,0,0,0,0.1667,170813,42.972,52.79,52.839,51.16,54.39099,55.66,48.42239815013728
2010.0833,2010,2,80,4414554,0.4792,0.4792,0.0208,0,0,0.0208,0,42.961,53.776,53.714,51.16,53.69883,56.94,49.62555333199224
2010.1667,2010,3,52,4414554,0.1667,0.6667,0.1667,0,0,0,0,46.869,55.058,55.161,54.67,54.37988,59.14,53.20906201142599
2010.25,2010,4,36,4414554,0.0208,0.4792,0.4792,0.0208,0,0,0,56.847,62.476,62.6,62.69,60.16842,65.67,58.95087549467063
2010.3333,2010,5,28,4414554,0,0.1667,0.6667,0.1667,0,0,0,66.488,67.334,67.452,63.99,68.10632,69.88,64.92789597924876
2010.4167,2010,6,16,4414554,0,0.0208,0.4792,0.4792,0.0208,0,0,77.617,79.163,79.517,78.06,80.427175,79.63,74.09161215357365
2010.5,2010,7,154,4414554,0,0,0.1667,0.6667,0.1667,0,0,86.16,87.922,87.871,85.99,82.26326,88.06,86.71572245761489
2010.5833,2010,8,519,4414554,0,0,0.0208,0.4792,0.4792,0.0208,0,86.826,87.858,88.067,87,82.26326,88.03,87.65912165485011
2010.6667,2010,9,860,4414554,0,0,0,0.1667,0.6667,0.1667,0,82.595,84.851,84.867,83.14,81.76168,85.31,85.02054067838678
2010.75,2010,10,1067,4414554,0.0208,0,0,0.0208,0.4792,0.4792,0,69.032,75.583,75.452,74.51,81.44368,77.1,72.02304406436791
2010.8333,2010,11,817,4414554,0.1667,0,0,0,0.1667,0.6667,0,70.197,75.224,75.379,73.39,76.75028,76.45,70.65485792522688
2010.9167,2010,12,503,4414554,0.4792,0.0208,0,0,0.0208,0.4792,0,54.044,65.299,65.258,62,62.39532,68.22,57.059924266734384
2011,2011,1,159,4585367,0.6667,0.1667,0,0,0,0.1667,170813,43.339,53.643,53.677,46.96,53.50475,57.07,48.26429809742294
2011.0833,2011,2,53,4585367,0.4792,0.4792,0.0208,0,0,0.0208,0,46.448,56.547,56.536,52.42,59.95012,60.12,52.79681065622598
2011.1667,2011,3,35,4585367,0.1667,0.6667,0.1667,0,0,0,0,39.424,49.855,49.71,49.23,51.8448,54.07,46.817307537330294
2011.25,2011,4,38,4585367,0.0208,0.4792,0.4792,0.0208,0,0,0,55.12,65.195,65.2,60.02,62.39532,68.14,58.38836610810985
