date,temp,dewp
19960109T23,18.804097493489607,18.000553385416687
19960110T00,18.587577311197936,17.450292968750023
19960110T01,18.555113728841167,16.74498697916669
19960110T02,18.422277832031273,15.926377360026063
19960110T03,19.568287150065125,15.005728149414086
19960110T04,21.943570963541685,13.828849283854188
19960110T05,24.14357808430992,13.18346150716148
19960110T06,25.819105021158876,12.744127400716167
19960110T07,26.594637044270858,12.499775187174501
19960110T08,27.182781982421897,12.540526326497416
19960110T09,27.440231323242205,12.463489786783876
19960110T10,27.42218221028648,12.26517028808596
19960110T11,27.13599650065106,11.822950236002626
19960110T12,26.318393961588562,11.859418741862001
19960110T13,24.729442342122418,12.554630533854189
19960110T14,23.494601440429708,12.72249959309898
19960110T15,22.501526896158875,12.47326354980471
19960110T16,21.55526529947919,12.06037801106773
19960110T17,20.910984293619812,11.447968546549498
19960110T18,20.553867594401062,10.75975748697919
19960110T19,20.340483601888042,9.594131469726584
19960110T20,19.991853841145858,9.391262817382835
19960110T21,19.54783732096356,9.090581258138043
19960110T22,19.072913614908874,8.931428019205752
19960110T23,18.573678588867207,8.799548339843772
19960111T00,18.084698486328147,8.771342976888041
19960111T01,17.62355957031252,8.80203552246096
19960111T02,17.197115071614604,8.933684285481794
19960111T03,18.31367187500002,9.108665974934919
19960111T04,21.09228515625002,9.193124389648458
19960111T05,23.912789916992214,9.559695434570335
19960111T06,26.13170572916669,8.885706583658877
19960111T07,27.298574829101582,8.906184895833356
19960111T08,27.927426147460956,8.972088623046897
19960111T09,28.16098836263023,9.141182454427105
19960111T10,28.248905436197933,9.286322021484398
19960111T11,27.983563232421897,9.543104044596376
19960111T12,27.091820271809915,10.559100341796897
19960111T13,25.128071085612,12.308536783854187
19960111T14,23.69887898763023,13.08182576497398
19960111T15,22.894551595052107,13.163416544596375
19960111T16,22.245454915364604,12.924424235026063
19960111T17,21.607981363932314,12.45234578450523
19960111T18,20.968482462565127,11.811690266927107
19960111T19,20.53567301432294,10.831204223632835
19960111T20,19.967588297526063,10.568999226888042
19960111T21,19.480078125000023,10.446110026041689
19960111T22,19.06579793294273,10.364671834309918
19960111T23,18.668620808919297,10.357153320312523
19960112T00,18.287308756510434,10.397613525390648
19960112T01,17.9489949544271,10.616434733072937
19960112T02,17.789624023437522,11.120289103190128
19960112T03,19.195614624023456,12.034101359049501
19960112T04,22.353987630208355,13.02874959309898
19960112T05,25.22074483235679,13.647985839843773
19960112T06,27.46140543619794,13.828160603841168
19960112T07,28.647761027018248,13.11951904296877
19960112T08,29.28534240722658,12.508972167968771
19960112T09,29.432681274414083,12.496860758463562
19960112T10,29.24977010091148,12.51748962402346
19960112T11,28.506677246093776,13.010238647460959
19960112T12,27.09235636393231,14.213038126627625
19960112T13,25.081015014648457,15.223423258463562
19960112T14,23.722205607096374,15.72415974934898
19960112T15,22.897726440429707,15.86968688964846
19960112T16,22.164566040039084,15.824194335937522
19960112T17,21.298977661132838,15.575810750325543
19960112T18,20.30471903483075,15.335484822591168
19960112T19,21.1557810465495,16.330626424153667
19960112T20,20.021919759114603,16.307964070638043
19960112T21,19.140075683593775,16.31516418457033
19960112T22,18.560339355468773,16.405656941731795
19960112T23,18.209620157877627,16.60548400878908
19960113T00,18.10144755045575,16.805084228515646
19960113T01,17.791031901041688,16.641067504882834
19960113T02,16.67887369791669,15.961833699544291
19960113T03,17.9656677246094,16.642532348632834
19960113T04,21.882214355468772,16.107264200846377
19960113T05,24.534998575846377,14.946269734700541
19960113T06,26.432503255208353,14.112560017903668
19960113T07,27.13320515950523,14.08643595377606
19960113T08,27.892724609375023,13.11705525716148
19960113T09,28.19597167968752,12.684994506835961
19960113T10,28.0727732340495,12.530462646484397
19960113T11,27.414678955078145,12.830845133463562
19960113T12,26.02258605957033,13.931852213541688
19960113T13,23.9595418294271,15.485583496093772
19960113T14,22.51021525065106,16.51154581705731
19960113T15,21.63695068359377,17.077662150065123
19960113T16,21.014122517903665,17.479096476237
19960113T17,20.44092203776044,17.725414021809915
19960113T18,19.777215576171898,17.81828409830731
19960113T19,19.29792989095054,17.783598836263042
19960113T20,18.893307495117206,17.629421997070335
19960113T21,18.488064575195335,17.438809204101588
19960113T22,18.103410847981795,17.219428507487002
19960113T23,17.753819783528666,16.986102294921896
19960114T00,17.402014160156273,16.707630411783875
19960114T01,17.103903198242207,16.414583333333354
19960114T02,16.79905700683596,16.14644063313804
19960114T03,18.77656758626304,17.848086547851583
19960114T04,21.499090576171895,18.50882568359377
19960114T05,23.546177164713562,16.014891560872417
19960114T06,24.95920206705731,14.263236490885438
19960114T07,25.70386555989586,14.234128824869815
19960114T08,26.005184936523456,14.58287150065106
19960114T09,25.83516235351565,15.357095336914083
19960114T10,25.38463338216148,16.27986043294273
19960114T11,24.599584960937523,16.933265177408877
19960114T12,23.533403523763038,17.544157918294292
19960114T13,22.418969726562523,18.139469401041687
19960114T14,21.835165405273457,18.41175028483075
19960114T15,21.574517822265648,18.480016072591162
19960114T16,21.59701538085939,18.4380310058594
19960114T17,21.484417724609393,18.387796020507835
19960114T18,21.328859456380233,18.365535481770856
19960114T19,21.157496134440123,18.718462117513045
19960114T20,21.00055135091148,18.68358154296877
19960114T21,20.945927937825545,18.667604573567733
19960114T22,20.794050089518247,18.651592000325543
19960114T23,20.73524475097658,18.645318603515648
19960115T00,20.777672322591165,18.65759785970054
19960115T01,20.641198730468773,18.670291137695333
19960115T02,20.475873819986994,18.64305826822919
